SEQ_NO,BR_NAME,BR_ID,BR_ADD,BR_CALL,WAIT_NO,,,,,,,,,,,,,,,
85,미아역지점,20527,서울 강북구 미아동 207-1,02)989-9111,5,,,,,,,,,,,,,,,
86,상도동금융센터,20530,서울 동작구 상도동 368-40,02)813-4111,0,,,,,,,,,,,,,,,
87,화양동지점,20532,서울 성동구 성수동2가 281-13,02)461-1901,11,,,,,,,,,,,,,,,
88,응암로지점,20538,서울 은평구 응암3동 578-3,02)303-5610,28,,,,,,,,,,,,,,,
89,여의도북지점,20539,서울 영등포구 여의도동 30-3,02)784-1941,3,,,,,,,,,,,,,,,
90,삼성중앙역지점,20540,서울 강남구 삼성동 117-1,02)563-9671,2,,,,,,,,,,,,,,,
91,원효로지점,20543,서울 용산구 원효로 3가 56-4,02)714-0026,2,,,,,,,,,,,,,,,
92,잠실금융센터,20546,서울 송파구 잠실동 208-10,02)423-3121,22,,,,,,,,,,,,,,,
93,신사동금융센터,20550,서울 강남구 신사동 501 신사美타워,02) 544-9884,4,,,,,,,,,,,,,,,
94,여의도한화금융센터,20560,서울 영등포구 여의도동 61-3,02)780-8340,0,,,,,,,,,,,,,,,
95,가락동지점,20561,서울 송파구 석촌동 296-4,02)415-7961,0,,,,,,,,,,,,,,,
96,화곡역금융센터,20566,서울 강서구 화곡동 1051-22,02)2691-2141,28,,,,,,,,,,,,,,,
97,양평동지점,20568,서울 영등포구 양평동 2가 29-23외 목동비즈타워,02)2676-2330,28,,,,,,,,,,,,,,,
98,한남동금융센터,20569,서울 용산구 한남동 738-20,02)794-8111,15,,,,,,,,,,,,,,,
99,합정동금융센터,20570,서울 마포구 합정동 373-4,02)337-3453,27,,,,,,,,,,,,,,,
100,신정동금융센터,20571,서울 양천구 신정4동 981-16,02)2606-4021,15,,,,,,,,,,,,,,,
101,도곡동금융센터,20573,서울 강남구 역삼동 755,02)564-4761,0,,,,,,,,,,,,,,,
102,금호동지점,20575,서울 성동구 금호동 4가 1109,02)2298-2522,29,,,,,,,,,,,,,,,
103,압구정역지점,20576,서울 강남구 신사동 614-2,02)546-1901,26,,,,,,,,,,,,,,,
104,중곡동지점,20577,서울 광진구 중곡4동 79-9,02)457-4762,1,,,,,,,,,,,,,,,
105,대림동지점,20579,서울 동작구 신대방1동 607-62,02)848-5121,16,,,,,,,,,,,,,,,
106,성수동금융센터,20582,서울 성동구 성수동 1가 22-24,02)464-6616,2,,,,,,,,,,,,,,,
107,사당역금융센터,20583,서울 관악구 남현동 1059-13,02)585-2001,4,,,,,,,,,,,,,,,
108,태릉역금융센터,20587,서울 중랑구 묵1동 168-18,02)974-5460,15,,,,,,,,,,,,,,,
109,방배동금융센터,20588,서울 서초구 방배4동 852-24,02-534-2151,22,,,,,,,,,,,,,,,
110,양재동금융센터,20589,서울 강남구 도곡동 914-2,02)3462-2960,29,,,,,,,,,,,,,,,
111,방이동금융센터,20591,서울 송파구 방이동 110,02)414-4041,0,,,,,,,,,,,,,,,
112,고척동지점,20592,서울 구로구 개봉동 179-8,02) 2689-9797,8,,,,,,,,,,,,,,,
113,용산역지점,20609,서울 용산구 한강로3가 40-999 아이파크몰3층,02)2012-2233,23,,,,,,,,,,,,,,,
114,국민대학교지점,20632,서울 성북구 정릉동 861-1 국민대학교 종합복지관,02)917-8822,25,,,,,,,,,,,,,,,
115,양재남금융센터,20641,서울 서초구 양재동 60,02)579-1840,19,,,,,,,,,,,,,,,
